,Sample,Age
509,GSM990496,68.0
510,GSM990468,69.0
511,GSM990610,74.0
512,GSM990319,55.0
513,GSM990601,75.0
514,GSM990272,58.0
515,GSM990577,76.0
516,GSM989998,35.0
517,GSM990508,69.0
518,GSM990618,64.0
519,GSM989983,32.0
520,GSM990388,66.0
521,GSM990625,68.0
522,GSM990340,54.0
523,GSM990043,66.0
524,GSM990269,43.0
525,GSM990413,53.0
526,GSM990519,43.0
527,GSM990439,52.0
528,GSM990323,46.0
529,GSM990281,55.0
530,GSM989949,62.0
531,GSM990442,65.0
532,GSM990498,64.0
533,GSM990012,67.0
534,GSM990428,66.0
535,GSM990371,59.0
536,GSM989844,80.0
537,GSM990030,68.0
538,GSM990093,53.0
539,GSM990556,82.0
540,GSM990427,90.0
541,GSM990491,68.0
542,GSM990357,54.0
543,GSM989861,79.0
544,GSM989964,73.0
545,GSM990288,48.0
546,GSM990108,41.0
547,GSM989841,63.0
548,GSM990331,45.0
549,GSM989965,49.0
550,GSM990284,66.0
551,GSM989970,72.0
552,GSM989948,45.0
553,GSM990031,64.0
554,GSM989957,70.0
555,GSM990390,58.0
556,GSM989885,47.0
557,GSM989931,63.0
558,GSM990005,84.0
559,GSM990047,76.0
560,GSM990469,79.0
561,GSM990008,67.0
562,GSM990580,82.0
563,GSM990304,60.0
564,GSM989835,73.0
565,GSM990402,70.0
566,GSM990620,92.0
567,GSM989887,73.0
568,GSM989942,74.0
569,GSM990058,69.0
570,GSM990283,46.0
571,GSM989899,72.0
572,GSM990308,64.0
573,GSM989864,79.0
574,GSM990409,84.0
575,GSM990541,22.0
576,GSM990370,64.0
577,GSM989968,48.0
578,GSM990434,92.0
579,GSM989847,79.0
580,GSM990506,56.0
581,GSM990488,68.0
582,GSM989986,63.0
583,GSM990419,60.0
584,GSM990499,27.0
585,GSM989972,50.0
586,GSM990493,79.0
587,GSM990495,78.0
588,GSM990575,67.0
589,GSM990461,57.0
590,GSM989852,74.0
591,GSM990608,64.0
592,GSM990543,58.0
593,GSM990457,82.0
594,GSM990472,48.0
595,GSM990024,76.0
596,GSM990387,61.0
597,GSM990268,52.0
598,GSM990467,89.0
599,GSM990622,77.0
600,GSM990540,40.0
601,GSM990006,80.0
602,GSM990038,77.0
603,GSM990391,43.0
604,GSM989893,79.0
605,GSM989958,54.0
606,GSM990121,64.0
607,GSM990436,59.0
608,GSM990070,48.0
609,GSM990395,46.0
610,GSM990486,84.0
611,GSM990393,47.0
612,GSM990394,50.0
613,GSM990492,73.0
614,GSM989978,54.0
615,GSM989967,75.0
616,GSM989908,65.0
617,GSM989909,65.0
618,GSM990425,68.0
619,GSM990053,60.0
620,GSM989922,76.0
621,GSM990302,59.0
622,GSM990073,62.0
623,GSM989943,59.0
624,GSM990444,51.0
625,GSM990538,36.0
626,GSM990606,83.0
627,GSM990037,63.0
628,GSM989923,84.0
629,GSM990051,71.0
630,GSM989858,73.0
631,GSM990120,49.0
632,GSM989903,68.0
633,GSM990475,69.0
634,GSM990338,59.0
635,GSM990039,81.0
636,GSM990489,74.0
637,GSM990460,78.0
638,GSM990563,87.0
639,GSM989960,76.0
640,GSM990412,78.0
641,GSM990035,69.0
642,GSM990520,47.0
643,GSM990072,48.0
644,GSM989914,74.0
645,GSM990101,43.0
646,GSM990616,78.0
647,GSM990341,57.0
